DBSCAN_Cluster,Government Debt,Core PCE Price Index,Core Consumer Prices,Wages,Corruption Rank,Price to Rent Ratio,Money Supply M0,Military Expenditure,Interbank Rate,Government Bond 10Y,Consumer Price Index CPI,GDP from Public Administration,Foreign Exchange Reserves,Mining Production,PCE Price Index,Pending Home Sales,Crude Oil Production,Disposable Personal Income,Foreign Direct Investment,Mortgage Originations
29,-1.2658189307538017,-1.1131032585462852,-1.109687273651235,-1.0964913751426704,-0.1644088693199891,0.9638218613706998,-1.4205391032560277,-1.152515184755996,1.8965694967797515,2.053008420773879,-1.0603525193179828,-0.8307349588820058,-0.47823011649670566,-0.24410027509527618,-1.1082947058379569,-0.6681947187616067,-1.1526159158578033,-1.0496109946841383,-0.40783750922894085,0.4336397781565194
30,-1.2569349455194179,-1.1000551924407844,-1.0965877432694517,-1.0850480290638886,-0.1644088693199891,0.7806293249991773,-1.4195013514417174,-1.152515184755996,1.8963813144161783,1.9517679207315242,-1.0622130463294808,-0.7988774885395601,-0.2724783738431052,-0.3015851787148066,-1.0950094924390863,-1.0676771541160779,-1.1657571129830488,-1.040990537495735,-0.9390107149569942,0.6825751867474161
31,-1.2468920901391163,-1.087108274134552,-1.0846915818203782,-1.0736046829851067,-0.1644088693199891,0.7806293249991774,-1.4190740418711192,-1.152515184755996,1.9630715076982659,1.6697584288759502,-1.0756228825255614,-0.7988774885395601,-0.1883902973785538,-0.2670942365430883,-1.0890714046320158,-1.618962914905248,-1.1899085022943112,-1.0374954668251921,-0.9390107149569943,0.6825751867474161
32,-1.246617187703934,-1.063338541306703,-1.069735425085271,-1.059300500386629,-0.1644088693199891,0.7806293249991774,-1.4204170148072852,-1.152515184755996,1.9685707574024722,1.5222171096872301,-1.0555081282314405,-0.7988774885395601,0.08459128418752616,-0.3015851787148066,-1.055455788910632,-1.4192216972280125,-1.2140598916055736,-1.0195547157213793,-0.9390107149569943,0.6825751867474161
33,-1.2368182327875816,-1.0405802864715288,-1.051753655033637,-1.0507179908275432,-0.1644088693199891,0.5708366005741762,-1.4194403072173463,-1.152515184755996,1.7817735796616594,1.5280035358710264,-1.039851617908268,-0.7177311018182392,0.193052716149049,-0.38206404378214925,-1.0288853621128922,-1.2114908308436874,-1.171439792820993,-1.0120128043749137,-1.59714490847408,-0.18384394801945103
34,-1.22718087221686,-1.0233851605960633,-1.0317089668116433,-1.0364138082290655,-0.1644088693199891,0.5708366005741762,-1.4162049633256735,-1.152515184755996,1.6826037054698233,1.1852069089991828,-0.9962872024126248,-0.7177311018182392,0.4313022661319446,-0.0946395256844969,-0.9822864696607939,-1.4112320485209229,-1.167177782942535,-0.9971589913115181,-1.5971449084740803,-0.18384394801945103
35,-1.2162297688209192,-1.0057854435235276,-1.0142429263025985,-1.0192487891108917,-0.1644088693199891,0.5708366005741762,-1.4144346808189092,-1.152515184755996,1.6920098909363415,1.1466923242754092,-1.0012369063488742,-0.7177311018182392,0.39697645714037655,-0.18661537147574567,-0.9618554217822297,-1.7388076455115893,-1.1398298862224292,-0.9753463587135347,-1.5971449084740803,-0.18384394801945103
36,-1.2150178112286862,-0.9882868742502596,-0.9935105986904855,-1.00780544303211,-0.7891373566516963,0.3174415797186894,-1.418463599627407,-0.44626458131311914,1.309087200441519,0.8547152711160989,-0.9645880346506852,-0.6257651968674077,0.6750358211016589,0.03182726227847013,-0.9395121083386745,-1.4431906433492807,-1.1384092162629431,-0.9621456409930909,-0.7961276839883115,-0.4676876466337735
37,-1.2150178112286862,-0.9882868742502597,-0.9935105986904855,-1.00780544303211,-0.7891373566516964,0.3174415797186894,-1.4184635996274073,-0.44626458131311914,0.7919793473951957,0.6933338128354477,-0.9645880346506852,-0.6257651968674077,0.6750358211016589,0.03182726227847013,-0.9395121083386745,-1.4431906433492807,-1.1384092162629431,-0.9621456409930909,-0.7961276839883115,-0.4676876466337735
38,-1.1985506889599349,-0.9796893113125277,-0.9877344278134783,-0.9877795873942412,-0.7891373566516963,0.3174415797186894,-1.4191350860954903,-0.44626458131311914,0.6747692581597357,0.8141394597740577,-0.943069109027132,-0.6257651968674077,0.9232378245791512,-0.07164556423668472,-0.9217984904735141,-1.3632941562783865,-1.1266886890971834,-0.9540608183339925,-0.7961276839883115,-0.4676876466337735
