Date,USD,Bankruptcies
2009-09,995.75,58721.0
2009-10,1040.0,59426.333333333336
2009-11,1175.75,60131.666666666664
2009-12,1087.5,60837.0
2010-01,1078.5,61148.0
2010-02,1108.25,61148.0
2010-03,1115.5,61148.0
2010-04,1179.25,60634.666666666664
2010-05,1207.5,60121.333333333336
2010-06,1244.0,59608.0
2010-07,1169.0,59179.333333333336
2010-08,1246.0,58750.666666666664
2010-09,1307.0,58322.0
2010-10,1346.75,57642.0
2010-11,1383.5,56962.0
2010-12,1405.5,56282.0
2011-01,1327.0,54212.0
2011-02,1411.0,54212.0
2011-03,1439.0,54212.0
2011-04,1535.5,53519.333333333336
2011-05,1536.5,52826.666666666664
2011-06,1505.5,52134.0
2011-07,1628.5,51387.666666666664
2011-08,1813.5,50641.333333333336
2011-09,1620.0,49895.0
2011-10,1722.0,49198.666666666664
2011-11,1746.0,48502.333333333336
2011-12,1531.0,47806.0
2012-01,1744.0,46393.0
2012-02,1770.0,46393.0
2012-03,1662.5,46393.0
2012-04,1651.25,45740.333333333336
2012-05,1558.0,45087.666666666664
2012-06,1598.5,44435.0
2012-07,1622.0,43626.0
2012-08,1648.5,42817.0
2012-09,1776.0,42008.0
2012-10,1719.0,41363.666666666664
2012-11,1726.0,40719.333333333336
2012-12,1657.5,40075.0
2013-01,1664.75,37552.0
2013-02,1588.5,37552.0
2013-03,1598.25,37552.0
2013-04,1469.0,37055.0
2013-05,1394.5,36558.0
2013-06,1192.0,36061.0
2013-07,1314.5,35671.333333333336
2013-08,1394.75,35281.666666666664
2013-09,1326.5,34892.0
2013-10,1324.0,34332.0
2013-11,1253.0,33772.0
2013-12,1204.5,33212.0
2014-01,1251.0,31671.0
2014-02,1326.5,31671.0
2014-03,1291.75,31671.0
2014-04,1288.5,31151.666666666668
2014-05,1250.5,30632.333333333332
2014-06,1315.0,30113.0
2014-07,1285.25,29515.0
2014-08,1285.75,28917.0
2014-09,1216.5,28319.0
2014-10,1164.25,27873.666666666668
2014-11,1182.75,27428.333333333332
2014-12,1206.0,26983.0
2015-01,1260.25,26130.0
2015-02,1214.0,26130.0
2015-03,1187.0,26130.0
2015-04,1180.25,25768.666666666668
2015-05,1191.4,25407.333333333332
2015-06,1171.0,25046.0
2015-07,1098.4,25025.666666666668
2015-08,1135.0,25005.333333333332
2015-09,1114.0,24985.0
2015-10,1142.35,24901.666666666668
2015-11,1061.9,24818.333333333332
2015-12,1060.0,24735.0
2016-01,1111.8,24797.0
2016-02,1234.9,24797.0
2016-03,1237.0,24797.0
2016-04,1285.65,24940.333333333332
2016-05,1212.1,25083.666666666668
2016-06,1320.75,25227.0
2016-07,1342.0,24970.333333333332
2016-08,1309.25,24713.666666666668
2016-09,1322.5,24457.0
2016-10,1272.0,24342.666666666668
2016-11,1178.1,24228.333333333332
2016-12,1145.9,24114.0
2017-01,1212.8,23591.0
2017-02,1255.6,23591.0
2017-03,1244.85,23591.0
2017-04,1266.45,23541.666666666668
2017-05,1266.2,23492.333333333332
2017-06,1242.25,23443.0
2017-07,1267.55,23331.666666666668
2017-08,1311.75,23220.333333333332
2017-09,1283.1,23109.0
2017-10,1270.15,23125.0
2017-11,1280.2,23141.0
2017-12,1291.0,23157.0
2018-01,1345.05,23106.0
2018-02,1317.85,23106.0
2018-03,1323.85,23106.0
2018-04,1313.2,22819.0
2018-05,1305.35,22532.0
2018-06,1250.45,22245.0
2018-07,1220.95,22197.666666666668
2018-08,1202.45,22150.333333333332
2018-09,1187.25,22103.0
2018-10,1214.95,22146.0
2018-11,1217.55,22189.0
2018-12,1279.0,22232.0
2019-01,1323.25,22157.0
2019-02,1319.15,22157.0
2019-03,1295.4,22157.0
2019-04,1282.3,22265.666666666668
2019-05,1295.55,22374.333333333332
2019-06,1409.0,22483.0
2019-07,1427.55,22625.333333333332
2019-08,1528.4,22767.666666666668
2019-09,1485.3,22910.0
2019-10,1510.95,22866.666666666668
2019-11,1460.15,22823.333333333332
2019-12,1514.75,22780.0
2020-01,1584.2,23114.0
2020-02,1609.85,23114.0
2020-03,1608.95,23114.0
2020-04,1702.75,22903.333333333332
2020-05,1728.7,22692.666666666668
2020-06,1768.1,22482.0
2020-07,1964.9,22451.666666666668
2020-08,1957.35,22421.333333333332
2020-09,1886.9,22391.0
2020-10,1881.85,22145.666666666668
2020-11,1762.55,21900.333333333332
2020-12,1887.6,21655.0
2021-01,1863.8,19911.0
2021-02,1742.85,19911.0
2021-03,1691.05,19911.0
2021-04,1767.65,19444.333333333332
2021-05,1899.95,18977.666666666668
2021-06,1763.15,18511.0
2021-07,1825.75,17720.666666666668
2021-08,1814.85,16930.333333333332
2021-09,1742.8,16140.0
2021-10,1769.15,15542.333333333334
2021-11,1804.4,14944.666666666666
2021-12,1805.85,14347.0
2022-01,1795.25,13160.0
2022-02,1909.85,13160.0
2022-03,1942.15,13160.0
2022-04,1911.3,13022.666666666666
2022-05,1838.7,12885.333333333334
2022-06,1817.0,12748.0
2022-07,1753.4,12873.666666666666
2022-08,1715.9,12999.333333333334
2022-09,1671.75,13125.0
2022-10,1639.0,13243.666666666666
2022-11,1753.5,13362.333333333334
2022-12,1813.75,13481.0
2023-01,1923.9,14467.0
2023-02,1824.6,14467.0
2023-03,1979.7,14467.0
2023-04,1982.55,14886.0
2023-05,1964.4,15305.0
2023-06,1912.25,15724.0
2023-07,1970.65,16166.333333333334
2023-08,1942.3,16608.666666666668
2023-09,1870.5,17051.0
2023-10,1996.9,17676.0
2023-11,2035.45,18301.0
2023-12,2078.4,18926.0
2024-01,2053.25,1693.0
2024-02,2048.05,1693.0
2024-03,2214.35,1693.0
2024-04,2307.0,1693.0
2024-05,2348.25,1693.0
2024-06,2330.9,1693.0
2024-07,2426.3,1693.0
2024-08,2513.35,1693.0
